mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
13.279133200645447,3.5013067379212446,4903.799631714821,110.01290074316242,euclidean,3,uniform,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.9997470428554709,0.9996715332600891,0.999682858502035,0.9996715320199648,0.9996932416593899,3.1404385444445485e-05,6
9.320081770420074,1.200240305323607,4859.138770163059,44.481444579328915,euclidean,3,distance,"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.9996979616184727,0.9996375539421672,0.9996375525737543,0.9996111241155905,0.9996460480624961,3.1855230224887466e-05,12
10.83833509683609,3.738028290558408,4808.492518365383,48.818315076580966,euclidean,6,uniform,"{'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'uniform'}",0.9997847976531617,0.9997432673757017,0.9997243889362923,0.9996790830080116,0.9997328842432918,3.797879250865719e-05,2
9.754310488700867,2.01971491465273,4862.045751988888,37.75245643909043,euclidean,6,distance,"{'metric': 'euclidean', 'n_neighbors': 6, 'weights': 'distance'}",0.9997055125780109,0.9996677577803199,0.9996526545498479,0.9996413280677777,0.9996668132439891,2.4230628494322517e-05,10
5.533840239048004,4.3569637281146365,3140.8371087908745,9.250379546034075,euclidean,9,uniform,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.9997621447745473,0.9997168390173181,0.9996979604781285,0.9996602055378946,0.9997092874519722,3.670237497409722e-05,4
2.95981627702713,0.09151528968152722,3110.0374523997307,8.777087410273918,euclidean,9,distance,"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.9997206144970873,0.9997017370982417,0.999663981031918,0.999645103561801,0.999682859047262,2.9848412629582276e-05,8
2.2475250959396362,0.6328818533853486,16937.905088424683,19.72695574632172,manhattan,3,uniform,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.9997583692947781,0.9996828596993963,0.9997168379482455,0.9996677565259414,0.9997064558670904,3.484684246317503e-05,5
1.3354286551475525,0.1730003981129996,16919.615820467472,7.779350273701518,manhattan,3,distance,"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.9997130635375491,0.9996337784623981,0.999663981031918,0.9996148996096139,0.9996564306603697,3.708854654052866e-05,11
1.2038761973381042,0.18423281630468277,16603.87414699793,8.028582436122853,manhattan,6,uniform,"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'uniform'}",0.9997847976531617,0.9997394918959327,0.9997394909123859,0.9996790830080116,0.999735715867373,3.756598132685489e-05,1
0.8240598440170288,0.03908708168383607,16589.1157438159,8.384535463541633,manhattan,6,distance,"{'metric': 'manhattan', 'n_neighbors': 6, 'weights': 'distance'}",0.9997206144970873,0.9996564313410127,0.9996753075139883,0.9996337770797309,0.9996715326079548,3.192495078734293e-05,9
0.7849646210670471,0.015688727031290046,12024.294435501099,6.796797843644524,manhattan,9,uniform,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.9997696957340854,0.9997319409363945,0.9997092869601988,0.999663981031918,0.9997187261656492,3.8270926756486126e-05,3
0.7298355102539062,0.023306742057861735,12000.499045073986,15.833479381004414,manhattan,9,distance,"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.9997243899768563,0.9996904106589345,0.9996866339960584,0.9996413280677777,0.9996856906749068,2.9533222761344445e-05,7
