Fold,Accuracy,Recall,Precision,F1-Score
1,0.8732668220902904,0.8732668220902904,0.892710915663958,0.8716574075458404
2,0.872945906915722,0.872945906915722,0.8924112036846271,0.8713758933241139
3,0.8740974260715263,0.8740974260715263,0.8937361942303288,0.8725787605660386
4,0.8740691100267115,0.8740691100267115,0.89318993069032,0.8725133761976079
5,0.8726155530595486,0.8726155530595486,0.8923094957652269,0.8710156530454823
6,0.8738708977130074,0.8738708977130074,0.893500536752494,0.8723017575649442
7,0.8736714930247484,0.8736714930247484,0.8927805489047135,0.8721112323677427
8,0.874615370094199,0.874615370094199,0.8933502663325069,0.8729884192927225
9,0.8713495554339002,0.8713495554339002,0.8913333320246776,0.869721358092987
10,0.873605421629887,0.873605421629887,0.8934413701254406,0.8720292581653389
